cantidad_leche_litros;temperatura_fermentacion;tiempo_fermentacion_horas;cantidad_cultivos_miligramos;tiempo_colado_horas;contenido_grasa_porcentaje;nivel_acidez_pH;cantidad_proteina_gramos;textura_puntuacion;sabor_puntuacion;nivel_calidad
44,85;35,77;7,3;46,08;3,34;3,99;4,06;5,77;1,62;6,66;3,84
26,07;39,49;11,9;56,96;1,79;6,26;4,42;6,47;4,01;8,67;4,93
96,76;36,63;8,78;51,3;1,68;4,09;4,24;4,87;3,41;1,56;3,04
94,36;39,65;2,66;41,88;1,48;7,05;4,04;4,87;2,7;7,31;4,06
29,85;43,52;10,33;57,62;2,95;9,29;4,19;4,81;3,73;9,12;4,7
66,9;36,04;10,0;62,17;0,81;6,46;4,03;6,56;4,37;9,48;5,16
40,93;44,73;7,18;41,26;2,37;7,57;4,19;6,3;7,81;3,49;4,65
46,15;42,63;9,43;41,8;2,58;5,44;4,1;6,64;2,68;4,48;3,83
35,47;39,21;11,63;47,19;4,14;9,5;4,18;7,61;6,72;7,81;5,59
20,38;37,22;7,65;66,4;3,08;6,32;4,05;6,35;3,2;2,88;3,56
71,45;43,16;6,55;54,28;1,9;8,56;4,49;6,47;8,47;5,22;5,17
62,95;41,41;6,91;40,32;4,09;3,68;4,28;7,23;1,41;6,99;4,2
23,34;36,18;8,25;43,12;2,89;3,83;4,43;6,27;7,43;2,23;4,24
47,77;41,76;7,98;65,36;3,66;4,29;4,01;5,1;2,79;3,84;3,37
50,5;37,17;7,4;71,81;3,0;3,48;4,1;5,38;9,9;8,21;5,73
23,55;41,57;12,53;26,49;4,37;4,7;4,01;7,83;2,61;2,88;3,7
67,21;42,01;9,75;33,55;3,16;6,3;4,13;5,92;3,64;3,39;3,68
49,6;36,69;8,07;70,87;3,85;4,88;4,33;6,6;7,63;7,67;5,47
86,92;43,05;7,01;39,62;2,7;3,65;4,11;5,95;5,43;9,95;5,3
81,34;43,48;7,65;57,43;4,58;7,87;4,37;6,93;5,81;9,46;5,58
95,28;39,02;6,85;43,75;1,98;8,89;4,49;7,17;1,37;9,7;4,79
63,49;35,0;8,88;55,29;3,96;7,04;4,17;6,45;7,78;9,37;5,83
92,41;41,33;7,73;51,23;4,09;7,21;4,05;6,49;1,81;2,76;3,31
76,27;40,1;6,04;49,27;4,07;8,3;4,05;4,47;7,94;3,74;4,35
58,82;45,0;7,88;53,04;3,24;8,59;4,41;4,64;4,49;3,43;3,66
47,3;37,31;8,4;56,38;3,9;5,45;4,34;6,24;2,69;3,36;3,56
55,76;41,12;4,86;46,6;3,36;9,07;4,34;6,63;6,3;6,97;5,15
62,14;42,05;9,7;47,56;2,95;8,46;4,5;5,79;2,22;3,41;3,41
82,54;38,64;8,3;34,07;2,7;9,63;4,05;5,86;3,22;5,12;3,98
94,31;36,79;12,38;36,74;4,03;3,75;4,19;4,76;6,06;7,14;4,65
83,69;39,57;7,63;48,88;2,19;5,74;4,18;5,18;8,36;8,69;5,54
26,61;41,09;11,09;55,6;3,07;5,4;4,5;7,93;2,21;6,3;4,36
87,72;35,99;2,6;62,59;3,38;3,91;4,1;5,7;3,73;4,19;3,76
96,57;39,6;12,79;52,84;2,21;5,45;4,22;5,26;7,31;2,48;4,1
27,12;43,02;10,0;54,96;4,14;9,95;4,39;7,56;2,59;8,09;4,83
79,07;44,49;9,68;45,66;2,93;8,77;4,36;4,67;5,96;5,33;4,36
62,14;44,65;10,18;57,81;1,73;4,79;4,49;5,52;8,49;8,94;5,65
74,01;40,95;8,19;47,74;2,7;9,93;4,39;6,83;2,17;8,83;4,75
69,39;35,33;6,75;63,44;2,31;6,5;4,49;6,62;4,8;4,35;4,25
23,34;41,11;10,27;57,15;3,7;5,55;4,47;7,61;5,4;3,38;4,36
25,02;42,94;9,81;28,97;2,57;6,46;4,09;5,61;2,17;8,04;4,25
90,89;41,46;11,98;45,73;3,16;4,83;4,03;6,13;3,16;1,53;3,21
70,6;43,61;8,31;50,47;3,99;8,9;4,16;6,54;9,97;5,69;5,59
54,53;43,35;9,02;59,35;4,15;4,85;4,23;7,23;6,33;5,94;4,98
76,79;39,95;8,75;25,63;3,2;5,44;4,38;6,43;4,61;4,03;4,11
58,93;44,56;6,73;39,04;1,71;6,62;4,47;6,52;3,34;8,02;4,67
79,31;41,34;10,57;50,03;3,04;5,55;4,38;4,93;1,92;1,07;2,68
43,85;42,7;6,1;52,27;1,78;8,12;4,16;5,61;9,47;3,08;4,77
41,57;40,87;10,14;44,0;2,83;9,44;4,4;7,02;5,47;8,18;5,3
94,21;44,96;7,61;56,51;2,08;6,27;4,41;5,32;7,85;6,12;4,96
85,43;44,84;7,08;59,21;3,43;7,21;4,05;5,82;4,74;7,04;4,61
93,67;38,67;10,1;68,94;2,11;9,87;4,05;6,9;3,6;4,02;4,05
79,89;40,81;8,74;49,67;3,2;6,26;4,04;7,24;6,53;9,74;5,78
26,18;40,59;7,83;65,67;2,3;8,65;4,18;7,45;2,44;8,36;4,8
74,21;40,84;8,0;61,69;4,23;3,11;4,34;6,04;4,88;8,98;5,03
24,71;43,95;7,96;46,83;4,07;9,39;4,1;6,77;9,1;6,58;5,64
91,58;43,6;10,87;41,27;3,32;9,66;4,25;5,9;1,89;3,13;3,37
58,96;40,93;9,58;48,37;2,63;9,56;4,12;5,54;4,6;1,59;3,5
94,57;42,45;8,73;54,61;2,33;5,27;4,15;5,41;1,86;9,92;4,51
49,64;42,5;6,64;46,02;4,47;4,38;4,39;7,15;8,43;7,01;5,59
96,44;37,35;6,25;71,13;2,98;5,61;4,28;5,82;5,05;8,5;4,98
32,05;35,97;3,94;42,86;1,82;6,91;4,02;6,44;3,52;4,44;3,96
85,6;37,35;4,12;59,2;2,58;6,19;4,15;5,93;1,73;4,3;3,49
40,16;37,72;9,21;51,54;2,48;3,11;4,42;4,18;4,5;2,65;3,3
20,39;38,37;6,94;66,89;3,29;4,05;4,21;6,73;5,1;7,37;4,9
72,3;35,24;8,73;44,88;2,79;9,73;4,33;5,74;6,95;7,53;5,23
42,73;36,88;6,87;45,27;2,52;7,93;4,34;4,84;1,45;5,98;3,6
79,72;42,09;6,43;35,59;4,04;7,49;4,47;6,27;1,16;4,72;3,55
69,57;44,77;4,59;43,49;2,09;3,03;4,33;7,5;7,81;7,87;5,69
73,25;38,52;8,58;68,1;2,7;9,24;4,15;6,1;6,95;9,49;5,66
26,7;43,19;5,51;48,22;2,14;3,1;4,08;5,76;7,3;5,58;4,75
53,32;39,28;8,53;51,95;3,23;8,35;4,02;5,55;5,62;6,68;4,68
68,96;38,0;8,66;48,42;1,83;8,62;4,27;6,43;9,88;8,67;6,16
52,17;36,28;9,09;58,15;3,28;5,47;4,4;4,63;6,42;5,93;4,49
58,79;38,72;9,01;48,71;2,9;8,29;4,42;4,97;1,38;5,15;3,44
86,29;43,45;7,81;31,59;3,45;9,1;4,2;5,42;5,36;1,45;3,61
45,92;40,1;8,69;52,3;2,48;3,19;4,35;6,36;3,43;3,88;3,79
66,63;44,71;8,34;55,58;3,17;9,35;4,34;6,98;9,99;4,77;5,53
33,46;44,04;7,31;43,1;2,76;9,51;4,32;5,1;8,51;8,41;5,59
34,46;35,65;11,06;53,07;2,75;8,55;4,41;4,73;3,26;8,49;4,44
99,65;35,94;7,6;48,4;2,15;7,09;4,43;6,76;8,17;2,01;4,5
75,81;36,14;9,23;42,5;4,6;5,18;4,38;7,2;6,09;4,06;4,56
57,59;41,63;6,35;58,64;2,74;3,76;4,05;5,14;7,57;4,86;4,54
33,18;40,92;8,75;42,5;3,99;5,29;4,23;7,59;7,39;1,78;4,44
45,96;40,88;10,8;41,97;2,94;3,09;4,08;4,58;9,77;6,05;5,1
60,88;38,11;5,77;47,33;3,58;9,04;4,18;6,1;6,02;1,76;3,93
62,22;38,77;7,11;52,66;4,97;8,29;4,15;6,85;8,52;8,71;5,95
92,34;37,17;10,66;48,19;3,55;3,24;4,43;6,01;5,5;2,16;3,77
28,7;38,58;6,97;58,01;3,67;4,48;4,07;5,31;1,89;3,41;3,17
59,94;36,69;7,57;48,87;3,53;8,89;4,33;3,81;9,66;7,52;5,37
96,96;41,21;7,83;74,72;2,23;3,86;4,39;5,84;4,7;6,74;4,52
84,84;43,92;9,3;62,93;2,74;6,97;4,07;6,85;9,08;8,89;6,06
83,3;39,07;5,0;54,03;5,45;5,91;4,48;5,32;9,93;4,96;5,12
49,82;37,91;8,2;65,04;2,73;7,77;4,34;6,69;1,51;7,25;4,24
58,17;35,56;8,39;52,84;3,28;4,01;4,08;4,83;4,23;6,74;4,2
99,3;38,05;11,02;55,91;2,0;8,99;4,21;6,21;4,06;9,68;5,15
73,35;41,91;7,94;49,61;1,54;5,51;4,18;5,03;2,58;2,98;3,2
91,12;43,21;8,87;55,51;5,25;4,87;4,24;5,28;7,83;5,31;4,77
37,86;36,66;7,92;65,39;3,3;4,06;4,19;5,37;2,01;5,83;3,7
50,24;35,11;7,28;65,27;2,74;7,63;4,16;5,08;5,46;1,29;3,49
24,76;36,38;2,84;51,2;3,14;9,73;4,02;4,41;2,79;1,41;2,86
68,64;36,77;6,72;53,51;1,85;8,28;4,19;5,87;5,63;3,59;4,16
60,76;43,38;8,95;43,99;2,66;5,69;4,04;6,68;7,72;2,32;4,41
54,04;35,07;8,81;40,36;2,81;8,05;4,09;5,7;6,2;7,61;5,02
87,73;41,96;6,4;46,46;3,92;9,37;4,19;4,92;8,77;4,52;4,81
25,36;36,55;4,24;49,82;2,47;7,3;4,34;6,3;9,29;4,65;5,19
32,11;37,15;9,64;40,68;1,22;6,69;4,25;5,26;5,57;7,57;4,8
36,54;36,75;6,49;57,55;2,35;8,79;4,15;5,73;5,02;7,11;4,72
88,84;37,39;5,46;66,69;4,34;5,51;4,11;4,09;4,22;7,45;4,22
44,85;44,05;5,03;51,25;1,78;9,44;4,44;5,46;1,64;3,99;3,38
66,4;40,24;12,31;33,79;3,13;3,76;4,08;8,76;2,7;7,54;4,83
46,48;42,23;8,14;58,57;1,86;5,36;4,28;6,22;8,07;9,32;5,83
55,89;43,93;8,11;48,44;4,68;3,48;4,24;6,43;3,66;9,46;4,97
39,91;35,02;7,95;52,19;4,95;9,93;4,24;7,48;2,93;9,22;5,11
36,72;44,05;8,07;32,16;2,69;9,14;4,45;5,64;6,77;6,63;4,96
62,23;35,18;9,35;39,93;5,2;5,83;4,03;5,77;2,17;1,35;2,92
68,19;43,79;7,98;48,78;1,83;3,92;4,49;6,97;3,44;8,34;4,79
45,84;44,57;9,83;47,31;2,5;4,56;4,12;6,29;4,29;3,35;3,84
37,76;44,37;5,56;59,65;3,29;4,58;4,4;6,81;5,07;7,95;5,04
90,49;43,75;5,6;68,74;2,48;3,81;4,47;7,34;9,23;8,15;5,99
32,02;41,26;10,13;58,48;3,2;3,78;4,5;5,24;6,71;9,64;5,35
38,31;38,94;4,41;41,53;3,08;5,64;4,34;6,87;9,38;5,2;5,39
23,77;38,98;3,16;55,53;3,0;6,13;4,17;5,82;5,77;7,36;4,89
29,97;40,43;4,67;49,73;4,62;3,11;4,1;6,69;1,67;4,24;3,54
95,4;43,01;6,64;32,05;4,67;4,86;4,2;7,32;8,42;1,86;4,6
39,77;43,36;9,7;26,06;2,97;8,29;4,22;7,32;4,57;8,14;5,16
87,53;39,19;6,66;59,5;2,74;6,5;4,43;7,07;4,72;7,88;5,04
54,67;35,11;10,5;65,76;2,62;5,18;4,4;5,15;3,24;8,2;4,4
92,01;37,41;3,56;30,14;4,37;6,64;4,06;5,86;7,15;3,74;4,43
75,01;36,88;7,51;39,98;4,28;3,43;4,48;6,47;8,58;6,56;5,35
83,91;39,26;11,79;72,64;5,18;6,76;4,29;5,22;5,57;5,65;4,42
54,36;41,26;10,05;74,45;1,6;9,62;4,43;6,79;5,41;6,18;4,84
80,94;42,58;8,73;40,49;3,06;4,83;4,33;5,51;6,54;5,04;4,51
37,01;35,45;5,99;43,45;2,96;8,93;4,46;6,69;7,31;4,5;4,85
70,87;39,34;9,44;54,7;5,45;3,76;4,5;6,31;9,85;5,03;5,27
66,11;41,1;12,29;46,54;4,53;5,0;4,16;5,12;9,69;2,99;4,63
74,79;37,32;8,06;41,67;1,93;6,22;4,26;7,02;2,64;8,83;4,81
64,26;35,96;9,02;45,37;3,58;4,29;4,09;6,52;9,73;7,24;5,74
98,18;40,93;9,84;52,37;2,83;7,55;4,5;6,76;2,04;9,12;4,7
53,22;37,46;11,13;65,44;2,74;8,26;4,16;6,59;9,1;5,43;5,36
46,24;43,33;8,53;61,01;3,05;7,13;4,19;5,97;7,77;1,6;4,19
34,02;37,79;9,52;53,55;4,8;8,07;4,28;6,29;9,01;3,07;4,83
91,84;44,88;8,38;48,38;1,77;7,7;4,27;6,39;2,36;4,24;3,75
63,56;39,47;6,8;49,05;1,77;5,62;4,33;4,42;2,72;6,61;3,86
69,69;44,22;8,86;54,4;2,95;5,31;4,23;6,21;2,72;2,18;3,31
52,56;44,28;5,82;33,55;3,49;9,75;4,4;4,84;1,02;7,51;3,85
54,1;41,04;7,79;39,91;3,36;9,87;4,27;4,07;8,46;3,49;4,4
31,99;35,09;4,4;39,63;2,71;7,14;4,21;5,49;2,97;2,97;3,41
76,27;35,29;8,85;52,25;2,26;5,83;4,41;6,16;5,5;4,23;4,27
31,5;43,99;7,78;38,76;2,73;8,34;4,09;5,36;1,81;8,52;4,26
78,89;44,86;12,38;46,36;4,0;5,31;4,21;5,66;6,89;1,53;3,9
42,05;41,32;5,92;54,78;0,71;8,09;4,24;5,75;7,46;9,51;5,69
53,12;44,84;8,57;53,52;4,05;7,9;4,41;6,4;2,57;9,98;4,93
77,69;38,08;9,39;50,61;2,36;8,01;4,34;8,88;1,32;2,08;3,61
54,14;38,93;9,99;32,39;2,75;6,4;4,47;5,27;4,12;9,33;4,84
54,8;43,51;8,43;58,39;3,32;6,9;4,23;4,66;9,17;7,8;5,45
66,01;44,44;8,82;46,94;3,53;9,28;4,2;8,22;6,96;7,28;5,66
36,89;36,37;9,76;49,84;3,78;3,86;4,34;5,62;4,0;9,22;4,84
22,8;40,22;9,59;52,26;1,91;4,42;4,04;5,01;5,78;4,55;4,1
92,2;35,68;7,16;46,86;2,1;3,09;4,14;6,4;9,31;9,42;6,06
96,77;44,6;5,88;42,94;3,06;6,7;4,26;5,72;8,13;3,28;4,55
99,25;41,98;5,58;52,68;4,07;6,69;4,41;5,25;3,15;1,39;3,07
39,68;41,77;10,13;56,03;2,46;5,17;4,12;5,71;6,41;8,38;5,17
46,9;42,59;11,69;38,18;2,43;6,75;4,33;7,11;2,56;2,6;3,58
63,95;44,71;10,11;65,27;4,35;5,55;4,13;6,02;3,72;4,56;3,94
29,08;39,11;8,07;46,25;3,0;3,3;4,1;4,98;1,01;3,76;2,98
70,28;43,8;7,49;43,34;2,42;8,98;4,4;7,18;5,43;8,89;5,46
35,03;42,52;9,36;38,99;2,36;3,01;4,43;6,32;4,82;1,14;3,49
32,04;36,53;7,83;49,96;2,74;4,08;4,33;6,79;5,46;4,8;4,49
23,1;43,04;9,03;44,39;3,68;4,88;4,01;3,72;5,57;9,4;4,78
57,02;44,34;6,86;46,81;4,25;7,26;4,22;5,49;9,48;4,59;5,04
23,04;42,61;6,58;51,85;3,06;6,21;4,25;5,42;1,47;3,8;3,25
52,87;42,9;8,0;49,81;1,71;7,96;4,39;5,48;8,35;2,86;4,48
85,54;43,34;4,35;51,83;3,26;6,2;4,25;5,43;5,22;4,66;4,18
42,57;43,64;10,97;49,49;2,65;5,72;4,46;4,68;3,35;5,22;3,73
90,4;44,5;9,91;48,29;4,24;6,8;4,22;6,25;7,77;8,75;5,67
51,37;36,47;6,07;44,96;2,13;7,2;4,38;4,88;1,33;3,19;3,01
42,37;43,48;5,57;43,98;2,29;4,42;4,01;4,93;4,97;9,61;4,93
35,53;42,08;9,11;49,02;3,36;7,06;4,49;6,23;2,55;6,98;4,26
94,97;39,6;6,23;46,66;4,66;3,18;4,27;6,05;3,05;8,94;4,67
79,81;37,87;10,57;48,2;2,39;6,54;4,29;5,72;2,49;7,54;4,28
41,58;39,53;8,93;55,48;1,68;6,65;4,09;6,0;3,44;8,47;4,67
34,72;39,32;4,99;52,66;2,95;5,43;4,45;6,28;2,03;4,75;3,69
29,51;39,83;13,23;43,95;2,21;4,97;4,26;6,88;2,37;6,54;4,25
92,67;39,89;7,42;67,22;2,87;9,01;4,29;6,9;5,2;4,26;4,45
38,61;35,66;8,79;53,76;3,04;9,29;4,29;6,6;2,24;9,49;4,85
61,19;38,23;10,0;52,35;2,17;6,24;4,1;5,59;9,07;5,6;5,14
80,94;35,75;5,89;46,88;5,2;9,56;4,05;6,91;2,58;1,69;3,38
73,89;44,4;10,94;43,0;2,4;9,99;4,31;6,51;4,55;3,93;4,2
38,69;40,84;11,47;49,16;2,65;3,66;4,23;5,56;7,17;8,17;5,24
67,57;40,43;5,27;59,43;1,2;9,29;4,31;5,55;7,61;4,85;4,79
55,88;41,07;8,57;45,58;1,43;8,02;4,38;5,74;8,83;9,43;5,94
74,96;35,72;5,42;41,59;2,72;7,73;4,38;7,08;3,78;3,44;4,0
27,1;42,53;7,09;65,39;4,12;4,85;4,1;5,43;3,97;5,87;4,11
63,21;37,96;10,02;47,98;0,64;4,07;4,15;4,9;9,99;4,92;5,01
58,46;43,71;8,03;40,76;2,3;6,28;4,12;6,77;5,38;1,3;3,78
87,33;42,12;13,07;54,32;3,15;5,0;4,21;6,2;9,55;3,25;4,88
35,79;35,96;7,29;70,22;3,89;5,0;4,33;6,17;2,13;2,54;3,26
58,51;35,16;7,87;52,75;3,06;5,54;4,26;6,19;9,62;6,58;5,58
87,83;40,69;5,77;26,86;3,81;9,28;4,1;6,07;9,84;2,82;4,89
37,24;42,14;9,46;32,51;2,8;5,98;4,09;6,56;7,03;9,8;5,76
91,52;37,88;10,68;40,73;4,71;9,07;4,49;5,63;6,76;9,96;5,61
95,39;41,61;6,75;46,78;2,95;8,28;4,28;5,92;7,24;8,47;5,49
31,61;39,05;11,68;47,21;4,0;7,57;4,04;5,39;7,87;4,36;4,62
89,11;37,59;7,25;56,96;2,65;6,46;4,05;7,02;9,7;9,7;6,36
58,19;39,08;6,24;49,84;1,36;7,76;4,46;7,96;9,88;3,6;5,41
65,17;36,51;10,97;57,0;3,95;4,06;4,25;6,12;9,63;9,34;6,09
71,81;37,36;8,38;71,49;2,62;4,84;4,28;5,84;9,81;4,96;5,21
93,27;43,97;6,7;61,67;1,87;9,95;4,16;7,25;3,38;8,92;5,08
46,47;41,02;5,43;33,03;2,62;4,84;4,03;7,01;7,64;2,35;4,44
25,7;35,76;9,1;50,32;2,24;6,03;4,08;6,12;1,55;7,69;4,15
34,44;40,94;6,98;50,04;3,47;3,74;4,09;5,56;4,78;8,99;4,9
31,44;37,19;7,14;47,67;3,68;9,18;4,15;6,35;3,49;4,41;4,0
41,88;41,18;9,15;50,43;2,78;5,55;4,05;4,17;6,49;1,89;3,57
83,25;43,05;8,43;51,15;2,8;9,7;4,36;6,54;2,97;4,1;3,9
49,07;37,03;7,89;49,32;3,65;7,92;4,42;5,24;6,78;5,27;4,59
41,06;36,78;7,37;58,46;3,22;5,81;4,04;7,1;2,78;2,94;3,63
60,92;38,19;7,23;57,68;3,19;4,14;4,06;5,74;1,95;2,1;2,99
38,3;35,97;12,4;42,45;1,65;7,04;4,0;6,04;2,86;7,47;4,35
66,75;42,07;9,39;42,09;3,26;4,21;4,19;6,25;1,23;5,79;3,72
60,92;35,44;9,84;46,47;2,29;5,63;4,24;5,56;5,75;2,64;3,89
68,93;43,61;6,48;46,41;4,16;4,11;4,15;5,34;1,47;1,49;2,71
49,81;36,12;8,69;58,51;4,99;5,54;4,19;6,44;7,79;2,85;4,5
35,05;43,41;7,25;60,46;4,32;9,8;4,37;6,76;1,23;3,83;3,55
93,42;43,43;6,78;39,43;5,17;3,27;4,41;7,04;4,59;3,34;4,04
62,52;41,69;8,4;30,36;2,83;3,88;4,1;8,67;4,54;5,26;4,73
62,15;37,51;9,25;42,87;3,22;5,74;4,22;6,4;9,31;4,93;5,23
71,98;42,5;4,9;40,42;3,44;5,41;4,49;5,15;5,86;6,58;4,59
90,99;39,81;10,56;38,32;3,73;4,53;4,2;4,5;5,67;7,56;4,62
68,29;44,97;2,36;51,61;2,72;6,3;4,15;6,7;4,78;2,12;3,82
84,88;40,85;9,46;55,37;2,51;6,12;4,05;6,45;8,09;2,25;4,43
28,6;44,98;11,33;53,64;2,77;3,64;4,45;5,81;1,91;7,15;4,02
82,45;38,42;8,79;38,18;3,25;5,69;4,11;4,5;5,87;5,86;4,32
46,78;43,71;10,33;45,68;4,0;7,99;4,44;7,65;8,86;2,75;4,98
43,85;38,14;7,29;67,63;2,78;3,98;4,46;5,64;9,49;3,99;4,87
40,81;44,84;4,11;35,3;3,39;3,16;4,18;6,16;5,11;9,42;5,18
85,2;44,98;4,15;44,99;3,32;4,56;4,25;5,21;2,37;9,19;4,44
48,1;39,35;7,51;57,32;3,01;3,64;4,35;6,85;8,74;3,26;4,83
67,41;41,29;7,81;36,82;3,07;9,95;4,39;5,38;8,98;1,73;4,4
54,31;41,19;4,73;43,45;2,44;9,14;4,12;7,37;6,98;8,09;5,63
32,21;43,64;3,76;45,7;4,04;7,34;4,12;5,62;3,42;4,03;3,72
44,87;40,56;7,56;42,72;3,6;4,15;4,44;6,27;5,95;5,7;4,64
62,07;37,71;6,4;54,88;3,26;3,75;4,49;6,62;7,8;5,52;5,03
87,65;40,58;8,13;39,27;1,68;7,88;4,1;8,45;9,06;5,14;5,65
28,0;38,62;6,87;53,09;2,81;4,66;4,06;6,36;1,74;1,69;3,0
79,26;42,66;6,45;33,18;2,54;6,66;4,08;7,04;3,51;7,88;4,78
64,53;40,54;9,06;44,62;3,17;9,22;4,09;5,54;9,71;6,35;5,46
62,26;35,93;9,38;48,68;1,15;7,15;4,5;7,09;6,1;5,64;4,87
71,15;38,22;6,5;33,81;3,8;9,81;4,07;4,57;8,0;5,36;4,74
51,29;39,5;8,86;54,17;3,17;7,33;4,35;5,97;5,73;6,38;4,75
53,5;42,51;8,91;49,53;1,68;7,32;4,38;5,88;1,55;2,7;3,16
98,75;40,5;6,31;57,88;2,97;8,32;4,08;6,38;3,83;5,01;4,17
50,09;40,67;5,46;60,24;3,52;4,48;4,19;6,5;4,25;7,71;4,76
32,16;42,67;5,5;47,25;2,21;8,8;4,0;6,35;6,22;6,44;4,92
65,18;44,13;10,1;49,62;3,13;4,73;4,1;5,87;6,03;1,61;3,76
36,17;44,7;7,5;55,51;2,05;4,61;4,35;8,07;2,53;5,87;4,38
35,37;43,88;7,06;43,86;3,18;3,41;4,42;4,51;2,43;5,97;3,63
84,89;40,68;13,37;37,33;4,15;5,37;4,35;4,55;9,11;7,14;5,26
58,36;38,13;10,23;67,34;2,97;3,35;4,49;6,68;3,39;4,18;3,88
26,96;43,62;8,28;34,99;2,89;5,77;4,46;6,91;2,3;4,82;3,89
31,34;36,84;5,02;44,59;2,4;7,81;4,36;6,75;3,66;9,18;5,06
26,63;40,09;5,89;51,07;3,07;9,01;4,21;4,54;7,94;5,8;4,82
67,4;35,77;6,6;44,73;1,79;7,82;4,03;6,58;4,38;5,57;4,41
54,7;39,86;11,27;50,04;2,56;7,29;4,13;6,42;5,65;2,95;4,12
66,38;40,67;6,77;51,51;2,18;7,33;4,14;5,68;9,37;2,9;4,7
43,17;42,64;8,6;50,3;3,17;9,85;4,42;5,9;3,12;7,09;4,4
28,09;43,63;6,97;65,83;2,38;7,8;4,01;6,93;2,1;9,32;4,77
70,53;41,18;9,49;39,97;3,07;4,19;4,01;7,02;8,26;2,25;4,53
61,65;37,11;7,16;64,12;2,47;9,34;4,11;8,04;3,83;2,39;4,0
75,34;35,16;8,45;50,63;2,01;7,09;4,37;6,81;5,4;4,76;4,52
28,72;40,63;6,27;59,1;2,26;5,83;4,38;6,37;8,95;5,01;5,17
91,13;44,4;6,5;62,96;3,06;3,81;4,16;6,28;6,95;5,63;4,82
82,22;40,26;5,1;53,23;3,55;6,05;4,37;4,57;4,85;4,02;3,8
57,92;37,69;7,58;54,06;2,61;9,21;4,45;6,75;6,38;4,52;4,68
92,59;36,61;8,14;56,54;4,29;4,87;4,48;6,51;5,59;3,51;4,18
22,51;36,15;8,45;58,79;1,48;9,67;4,34;6,29;3,66;4,36;4,05
94,19;41,13;6,71;63,25;3,14;9,0;4,41;4,82;8,99;1,84;4,29
85,4;38,59;12,68;66,85;1,07;5,03;4,07;7,32;5,02;9,93;5,51
23,99;44,45;6,05;25,31;2,6;8,82;4,24;6,71;9,34;6,84;5,74
21,84;43,41;9,55;59,82;3,1;8,3;4,32;6,68;8,1;2,14;4,55
40,13;38,42;9,96;51,45;4,81;4,56;4,11;4,32;9,26;4,55;4,68
57,53;37,35;9,85;29,87;4,23;8,58;4,1;6,12;7,48;8,23;5,5
58,17;42,95;9,29;50,53;3,38;5,91;4,48;4,68;8,95;8,18;5,44
77,15;40,39;8,89;61,71;4,28;5,68;4,33;6,58;6,39;7,06;5,11
21,86;42,88;5,47;56,06;2,86;5,33;4,4;6,77;5,71;1,97;3,98
20,5;37,87;11,72;48,5;2,12;5,79;4,33;6,08;6,03;1,83;3,9
33,2;44,47;9,65;44,7;1,82;5,93;4,07;5,88;8,94;1,52;4,34
24,34;37,91;6,55;54,94;4,18;8,22;4,04;6,61;7,2;9,4;5,75
45,46;40,96;9,37;33,77;3,94;9,62;4,1;5,55;5,65;6,1;4,61
69,77;35,73;10,51;34,08;3,79;9,4;4,38;4,1;5,4;3,86;3,84
29,03;40,67;9,08;46,32;2,89;5,34;4,23;6,9;8,23;6,23;5,36
95,35;42,72;6,64;35,13;1,82;8,26;4,43;7,9;6,61;9,38;5,92
21,53;38,01;8,17;41,91;3,65;9,09;4,49;3,83;5,83;4,09;3,89
46,81;37,96;4,24;53,38;1,46;6,28;4,22;4,71;9,26;3,65;4,63
31,88;42,82;7,14;69,04;5,92;8,51;4,25;4,57;9,88;3,87;4,82
27,24;39,26;7,72;38,83;1,76;5,89;4,03;4,43;6,52;8,36;4,93
72,14;40,66;6,82;54,41;3,44;5,29;4,02;5,45;8,18;6,1;5,0
22,42;44,02;8,03;59,72;3,82;6,9;4,11;7,13;6,93;8,16;5,54
48,28;38,94;7,38;58,22;2,69;6,89;4,01;5,05;9,36;3,21;4,6
58,34;36,94;9,63;58,57;2,1;8,52;4,41;7,45;7,32;5,92;5,29
24,19;43,05;12,73;56,37;3,01;9,92;4,19;4,01;5,83;8,97;4,94
21,17;43,16;5,61;56,43;2,75;6,55;4,4;6,68;3,66;4,24;4,03
50,33;42,67;10,84;59,94;3,97;5,28;4,01;4,71;8,75;1,53;4,05
28,39;40,89;11,04;50,47;3,35;5,16;4,17;4,7;8,21;3,53;4,37
39,09;43,54;9,28;53,73;2,18;9,87;4,03;5,33;2,71;8,7;4,49
57,94;38,41;6,83;41,45;1,99;4,08;4,35;5,58;5,66;4,94;4,31
26,13;44,06;5,5;51,56;2,57;4,27;4,24;4,33;5,3;2,41;3,48
77,46;35,16;4,95;48,9;4,11;6,93;4,32;5,39;6,53;3,89;4,3
87,72;38,91;7,13;28,4;1,55;7,02;4,29;5,97;6,63;4,46;4,55
87,74;44,4;7,22;52,78;4,68;4,84;4,41;6,53;8,37;6,05;5,26
44,13;44,41;8,37;44,84;2,18;7,44;4,33;4,39;2,01;5,52;3,53
41,0;41,07;7,33;52,11;4,21;7,54;4,09;5,43;4,63;6,45;4,41
89,62;38,37;6,51;40,08;3,43;3,23;4,37;5,76;3,39;9,79;4,84
47,19;41,04;6,86;58,36;4,97;6,31;4,42;3,81;2,57;8,05;3,99
26,97;43,05;7,94;58,68;3,91;7,67;4,22;6,72;3,81;5,47;4,34
